entry_id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17140695,Sun-Filled Apartment in Bushwick,2770769,Brooklyn,Bushwick,40.698640000000005,-73.92827,Entire home/apt,115,90,2,2017-07-24,0.08,1,34
17140748,"Clean sm room, with shared space.  Great location.",92202937,Brooklyn,South Slope,40.66632,-73.9862,Private room,100,1,2,2017-10-22,0.09,1,87
17141413,Cozy studio close to train and shopping avenue!!!,55468876,Queens,Ridgewood,40.70575,-73.90171,Entire home/apt,90,1,109,2019-06-30,3.97,1,75
17141577,Cosy and Spacious Master Bedroom in Williamsburgh,26870769,Brooklyn,Williamsburg,40.71648,-73.94066,Private room,60,87,4,2017-09-19,0.14,1,173
17142987,Charming Apartment with Private Backyard,78154356,Bronx,Pelham Bay,40.84752,-73.82797,Entire home/apt,89,2,94,2019-06-20,3.2,1,252
17147561,Best Location + Private Roof Deck,51850937,Manhattan,East Village,40.73109,-73.98234000000001,Private room,85,1,209,2019-06-17,7.18,3,252
17150899,Modern new  large duplex apartment.,27072611,Manhattan,Kips Bay,40.73829,-73.97896,Entire home/apt,285,1,79,2019-06-21,2.7,1,310
17152737,Chelsea Artist's Apartment,12578148,Manhattan,Chelsea,40.74353,-73.99709,Entire home/apt,545,5,42,2019-06-26,1.57,1,322
17153913,Charming Sunny Williamsburg/Greenpoint Apartment,2800064,Brooklyn,Greenpoint,40.72399,-73.95166,Entire home/apt,208,4,61,2019-06-23,2.26,1,255
17154204,Tranquil space,16995590,Queens,Rosedale,40.65439,-73.73185,Entire home/apt,100,2,45,2019-06-09,1.7,1,360
17157615,"East Village, Private room with access to garden",115395049,Manhattan,East Village,40.725840000000005,-73.9894,Private room,78,1,38,2019-06-21,1.3,2,138
17158871,"19th Cent. Brooklyn Hts, Moments from Manhattan",17727305,Brooklyn,Brooklyn Heights,40.697540000000004,-73.99298,Entire home/apt,270,4,48,2019-07-01,1.73,1,172
17168007,"NYMT07-1 LUXURY! Studio,Cozy,Gym,doorman Stu-7",39890192,Manhattan,Hell's Kitchen,40.76536,-73.98864,Entire home/apt,160,45,6,2019-05-22,0.63,12,365
17173473,Ocean Blue Room,113558977,Queens,Rego Park,40.7265,-73.86017,Private room,30,1,120,2019-06-11,4.1,2,112
17174519,Chelsea Brownstone 3 Bedroom House,10590692,Manhattan,Chelsea,40.74443,-74.00012,Entire home/apt,650,3,35,2019-07-03,1.61,2,179
17177726,Spacious and Bright Brooklyn Two Bedroom Apartment,700224,Brooklyn,Gowanus,40.683609999999994,-73.98671,Entire home/apt,185,30,10,2019-05-11,0.53,4,323
17186834,Private charming room for gate away.,59505164,Brooklyn,Bedford-Stuyvesant,40.68653,-73.9449,Private room,59,4,74,2019-06-15,2.52,1,85
17187785,Private room in bustling East Village,105631352,Manhattan,East Village,40.72537,-73.97878,Private room,65,2,147,2019-06-20,5.07,3,18
17188790,Large Bedroom next to Prospect Park and BK Museum,45775461,Brooklyn,Prospect Heights,40.67365,-73.96384,Private room,80,3,4,2019-06-14,0.15,1,88
17189484,The Traveler's Suite,21376087,Brooklyn,Greenpoint,40.73301,-73.95835,Entire home/apt,100,2,176,2019-06-30,6.02,1,14
17192309,3 Bedroom Cozy Apartmnet,66978896,Brooklyn,Bushwick,40.69149,-73.91291,Entire home/apt,160,4,21,2018-09-20,0.75,2,189
17192800,法拉盛summer家(C)closed to JFK&LGA&Citi Field#Parking,62023756,Queens,Fresh Meadows,40.74637,-73.7842,Private room,55,1,50,2019-07-07,3.51,3,67
17193761,Ideal Cute Sunny Room,97513787,Manhattan,Chinatown,40.71573,-73.99176,Private room,63,20,31,2018-09-23,1.09,5,218
17209680,"Sunny, quiet and oh-so-central East Village nest.",1226375,Manhattan,East Village,40.72334,-73.9839,Entire home/apt,110,2,29,2019-05-27,1.53,1,15
17210984,Artists' Room in Beautiful Brownstone Brooklyn,115845698,Brooklyn,Carroll Gardens,40.68148,-73.99315,Private room,95,3,72,2019-06-30,2.56,1,67
17211246,Cute clean 1 rm,31546047,Manhattan,Hell's Kitchen,40.76553,-73.98879000000001,Private room,118,2,16,2019-07-01,0.63,1,24
17211583,Minimalist Hideaway In The Heart of Bushwick,278393,Brooklyn,Bushwick,40.697959999999995,-73.92409,Private room,43,2,88,2019-06-12,3.02,3,84
17211908,Sunny and Serene,23776693,Brooklyn,Bedford-Stuyvesant,40.68412,-73.92734,Private room,45,2,61,2019-06-23,2.4,3,110
17212052,1BR - Prime Williamsburg Location - Outdoor Space,12570191,Brooklyn,Williamsburg,40.71262,-73.96251,Entire home/apt,199,2,38,2019-06-16,1.32,1,94
17214699,Charming Apt Mins Away from City,114621718,Brooklyn,Gowanus,40.67706,-73.98406,Entire home/apt,146,1,106,2019-06-29,3.78,2,341
17218433,ACTOR PHILIP SEYMOUR HOFFMAN LIVED HERE,4554793,Manhattan,Chelsea,40.73899,-73.99911999999999,Entire home/apt,239,3,15,2019-02-17,0.65,1,42
